"Id";"Raza";"Previo";"Posterior"
1;"Blanca";15,7969749911898;9,32692155440712
2;"Blanca";13,1347902968495;12,2208460399281
3;"Blanca";15,4258757758525;11,6864070715392
4;"Blanca";18,3817668581137;12,8058889588437
5;"Blanca";15,4615009459943;11,9019452077968
6;"Blanca";16,5771685037942;12,2764280113671
7;"Blanca";17,9153588577689;13,8521474690385
8;"Blanca";14,1852073498035;13,0410061254607
9;"Blanca";13,2683109323293;15,4718096656648
10;"Blanca";15,9337745390668;13,9717964492318
11;"Blanca";13,8479728818162;13,402991463581
12;"Blanca";14,5762601845703;14,2078320951584
13;"Blanca";15,6707836951002;13,8147259954263
14;"Blanca";17,2774291760786;11,7317809841502
15;"Blanca";16,29098390262;13,2032205740747
16;"Negra";14,7779541500804;8,07437120038295
17;"Negra";13,5622203924315;10,0553309883703
18;"Negra";14,3210183976073;10,3196053185355
19;"Negra";13,1705902158567;9,52332275229997
20;"Negra";13,7721949364058;9,92242792825872
21;"Negra";14,603242565644;7,90714943002367
22;"Negra";14,9639713895832;10,5964748316861
23;"Negra";11,5957969988264;12,0691699534703
24;"Negra";14,0991872225828;9,244814210345
25;"Negra";13,4002433042119;9,77009397184832
26;"Negra";11,5080514526;10,1576440713451
27;"Negra";12,7694338323245;10,0564193358755
28;"Negra";15,7669794483009;12,1003920959199
29;"Negra";12,1219467331162;11,8853090260234
30;"Negra";16,0648420816981;7,73745972034623
31;"Negra";13,0164475341169;9,99490751825516
32;"Negra";13,5241373929738;8,96920320041114
33;"Negra";13,2617290948116;7,73299835006337
34;"Oriental";18,1654046386833;16,0492564815328
35;"Oriental";19,5965312670418;11,941781804384
36;"Oriental";19,5001433443178;12,8102044692339
37;"Oriental";19,8918693633086;12,8538132786793
38;"Oriental";20,7772847205877;13,2504470865461
39;"Oriental";20,060596787834;16,3165995737967
40;"Oriental";18,4713515718164;15,123897983792
41;"Oriental";19,6661744120018;12,727441152383
42;"Oriental";20,9593182715917;11,2810341099441
43;"Oriental";18,3726789118297;8,91345198470181
44;"Oriental";20,7084278867461;14,0598983147398
45;"Oriental";19,0952324032468;14,354516934307
46;"Oriental";19,063860008036;16,7623325797115
47;"Oriental";18,5885255874309;13,7709185236666
